canton,nombre_logements_total,population_pct
AG,348656,7.2
AI,8647,0.2
AR,30370,0.6
BE,595347,12.3
BL,150586,3.1
BS,116651,2.4
FR,168373,3.5
GE,251960,5.2
GL,23913,0.5
GR,185989,3.8
JU,41897,0.9
LU,213845,4.4
NE,100319,2.1
NW,23279,0.5
OW,22959,0.5
SG,275324,5.7
SH,46110,1.0
SO,146581,3.0
SZ,84292,1.7
TG,147119,3.0
TI,257629,5.3
UR,22150,0.5
VD,443583,9.2
VS,277689,5.7
ZG,62454,1.3
ZH,794374,16.4
