canton,logement_vacants_2023,taux_logements_vacants
AG,4778,1.40
AI,134,1.59
AR,359,1.20
BE,7817,1.33
BL,1359,0.92
BS,1229,1.07
FR,2253,1.38
GE,1041,0.42
GL,294,1.25
GR,1057,0.58
JU,1292,3.17
LU,2009,0.96
NE,1824,1.85
NW,188,0.82
OW,96,0.43
SG,3834,1.42
SH,480,1.07
SO,3445,2.39
SZ,413,0.50
TG,2066,1.45
TI,5489,2.17
UR,138,0.64
VD,4230,0.98
VS,4583,1.69
ZG,254,0.42
ZH,4103,0.53
