canton,densite_population
ZH,975.4
FR,217.7
SO,366.6
BS,5450.2
BL,582.1
SH,297.4
AR,233.5
AI,97
SG,276.8
GR,29
AG,527.4
BE,183.4
TG,347
TI,131.1
VD,302.9
VS,71.2
NE,250.4
GE,2160
JU,89.3
LU,306.4
UR,36.2
SZ,198.4
OW,82.5
NW,187.9
GL,62.2
ZG,645.6
